epoch,epoch_loss,lie_loss,lmi_loss,eta_loss
0,2858.5459107468996,19882.2594957266,-202.8393571059979,0.0
1,2239.959118767235,19702.764718060094,-204.0234971312271,0.0
2,2059.3130437555765,19740.301875496607,-205.17035034394564,0.0
3,1325.7841914021667,19754.030708131813,-206.30206982921817,0.0
4,2733.0407475108827,19558.483482742497,-207.40182207537083,0.0
5,1873.94188137916,19735.234203410764,-208.47081108183693,0.0
6,1317.5128816293757,20238.196965024916,-209.49143552826934,0.0
7,131.41389965233043,20263.750397515105,-210.43716189550065,0.0
8,0.0,20356.36099329483,-211.35018287074968,0.0
9,0.0,20356.360999028402,-212.2350348444846,0.0
10,0.0,20356.36100550428,-213.09533191726928,0.0
11,0.0,20356.36101197919,-213.93232437308967,0.0
12,0.0,20356.361017580766,-214.74716961664942,0.0
13,0.0,20356.361023979804,-215.54094105186283,0.0
